sku,linea,tono,categoria,pedido,fecha_pedido,costo_unit,envio_unit,cantidad_comprada,precio_venta,activo,notas
06-HYDRA-LIPGLOSS,Hydra Lipgloss,06,Labios,Pedido 1,,110.0,52.11,2,210.0,TRUE,
17-HYDRA-LIPGLOSS,Hydra Lipgloss,17,Labios,Pedido 1,,110.0,52.11,3,210.0,TRUE,
18-HYDRA-LIPGLOSS,Hydra Lipgloss,18,Labios,Pedido 1,,110.0,52.11,3,210.0,TRUE,
22-HYDRA-LIPGLOSS,Hydra Lipgloss,22,Labios,Pedido 1,,110.0,52.11,4,210.0,TRUE,
32-HYDRA-LIPGLOSS,Hydra Lipgloss,32,Labios,Pedido 1,,110.0,52.11,2,210.0,TRUE,
102-UNLIMITED-DOUBLE-TOUCH,Unlimited Double Touch,102,Labios y Mejillas,Pedido 1,,140.0,52.11,1,245.0,TRUE,
120-UNLIMITED-DOUBLE-TOUCH,Unlimited Double Touch,120,Labios y Mejillas,Pedido 1,,140.0,52.11,1,245.0,TRUE,
05-CREAMY-LIPLINER,Creamy Lipliner,05,Labios,Pedido 1,,101.0,52.11,2,195.0,TRUE,
06-CREAMY-LIPLINER,Creamy Lipliner,06,Labios,Pedido 1,,101.0,52.11,2,195.0,TRUE,
09-CREAMY-LIPLINER,Creamy Lipliner,09,Labios,Pedido 1,,101.0,52.11,1,195.0,TRUE,
12-CREAMY-LIPLINER,Creamy Lipliner,12,Labios,Pedido 1,,101.0,52.11,1,195.0,TRUE,
06-VELVET-TOUCH-BLUSH,Velvet Touch Blush,06,Rostro,Pedido 2,,117.0,0.0,1,245.0,TRUE,
07-VELVET-TOUCH-BLUSH,Velvet Touch Blush,07,Rostro,Pedido 2,,117.0,0.0,2,230.0,TRUE,
21-HYDRA-LIPGLOSS,Hydra Lipgloss,21,Labios,Pedido 2,,110.0,0.0,3,210.0,TRUE,
TRAVEL-BRUSH-SET,Travel Brush Set,,Brochas,Pedido 2,,200.0,0.0,1,300.0,TRUE,
02-HIGHLIGHTING-DROPS,Highlighting Drops,02,Rostro,Pedido 3,,122.0,33.0,1,199.0,TRUE,
04-COLOURED-BALM,Coloured Balm,04,Labios,Pedido 3,,80.0,33.0,1,165.0,TRUE,
06-COLOURED-BALM,Coloured Balm,06,Labios,Pedido 3,,80.0,33.0,3,165.0,TRUE,
08-COLOURED-BALM,Coloured Balm,08,Labios,Pedido 3,,80.0,33.0,3,165.0,TRUE,
15-HYDRA-LIPGLOSS,Hydra Lipgloss,15,Labios,Pedido 3,,110.0,0.0,2,210.0,TRUE,
16-HYDRA-LIPGLOSS,Hydra Lipgloss,16,Labios,Pedido 3,,110.0,0.0,1,210.0,TRUE,
30-HYDRA-LIPGLOSS,Hydra Lipgloss,30,Labios,Pedido 3,,110.0,0.0,1,210.0,TRUE,
